timestamp,MainRoom,AC,LivingRoom,LightsLiving ,BathPlugs,Holiday,GuestRoom,Fridge,Kitchn
2016-08-02 03:00:00-05:00,527.8823333,751.620613,103.0531037,0,0,5.257206809,651.1789531,54.59673303,23.09030407
2016-08-02 04:00:00-05:00,456.7238817,613.856646,102.6453021,0,0,5.072697449,553.0396169,33.83935276,22.84123151
2016-08-02 05:00:00-05:00,565.847398,822.4730098,103.5706659,0,0,0,692.5813709,21.70409773,22.69653988
2016-08-02 06:00:00-05:00,141.1211134,0,103.1398392,0,0,5.053561298,154.1019909,34.56377614,38.40778538
2016-08-02 07:00:00-05:00,169.3466491,0,101.741786,29.50165621,0,5.29237964,316.1164275,86.78630334,122.0905543
2016-08-02 08:00:00-05:00,173.9256417,0,99.59978561,34.10831881,0,5.249320189,443.519018,74.24169529,273.3501513
2016-08-02 09:00:00-05:00,703.0436963,935.8459233,100.6815153,23.4850908,60.04113604,5.224461365,966.6366864,81.66868928,190.1659295
2016-08-02 10:00:00-05:00,1111.629607,1932.051043,99.20995946,0,0,0,1424.028472,123.5546199,44.30344947
2016-08-02 11:00:00-05:00,791.3854652,1030.440069,98.69433151,0,0,5.036443702,832.0753835,42.5922142,47.98536631
2016-08-02 12:00:00-05:00,1280.45203,2034.036497,99.46578672,0,0,0,1496.769538,50.98798826,82.22214754
2016-08-02 13:00:00-05:00,1395.180049,2108.136705,99.53918809,0,0,0,1493.994589,13.75270407,80.87878579
2016-08-02 14:00:00-05:00,1505.330584,2154.966022,99.47295721,0,0,0,1734.942821,85.20756992,135.6399072
2016-08-02 15:00:00-05:00,2160.018209,2169.606526,99.46713176,0,5.141256468,5.769297022,1812.820868,120.6724232,140.8998598
2016-08-02 16:00:00-05:00,1544.452631,2181.377716,99.67761505,0,0,5.257796417,1707.234247,68.3723728,137.4883966
2016-08-02 17:00:00-05:00,1710.842583,2172.418938,99.43748118,0,0,5.422873325,1649.494217,46.56675987,138.7265597
2016-08-02 18:00:00-05:00,1586.316625,2158.822735,99.60418241,0,0,5.39729736,1544.505856,32.66290315,48.68909669
2016-08-02 19:00:00-05:00,1585.336926,2118.11336,100.7430565,26.40307306,0,5.728298807,1651.467307,73.93925322,162.3614332
2016-08-02 20:00:00-05:00,1408.597054,2039.670608,102.9650126,62.28833707,0,5.530788458,1655.533135,47.82715401,226.566976
2016-08-02 21:00:00-05:00,1494.350211,2009.258041,101.2103336,53.15277324,0,5.845988719,1733.617483,185.5244593,154.373607
2016-08-02 22:00:00-05:00,1072.075527,1574.205641,101.4823146,0,0,5.959407541,1168.989957,43.76869533,38.37483499
2016-08-02 23:00:00-05:00,926.7246456,1123.931283,99.97978685,6.300690185,0,6.366651175,943.5803139,111.8006047,29.70502603
2016-08-03 00:00:00-05:00,735.0655798,990.6377913,99.88348087,0,0,6.157141855,806.034067,35.09161624,28.83823453
2016-08-03 01:00:00-05:00,691.595998,913.1084356,99.52087714,0,0,5.916805604,774.1412107,59.65160264,28.52011584
2016-08-03 02:00:00-05:00,505.5458389,714.8212757,98.95131289,0,0,5.860315931,633.4330504,32.75942412,27.88113271
2016-08-03 03:00:00-05:00,152.167761,0,102.4992994,0,0,5.954374048,225.5200262,125.5284903,27.68761038
2016-08-03 04:00:00-05:00,610.7338339,919.5702513,99.14184685,0,0,5.719501588,745.473646,32.16147492,27.50562911
2016-08-03 05:00:00-05:00,482.1609385,663.4779555,98.64415961,5.396625325,0,5.648840219,624.4199762,52.79948228,27.38855174
2016-08-03 06:00:00-05:00,525.528554,752.1435326,99.98749716,0,0,5.724482287,639.30502,30.97413181,27.43064193
2016-08-03 07:00:00-05:00,175.3914501,0,95.60783201,37.72961826,0,5.876606808,537.5248832,109.9733016,260.1425528
2016-08-03 08:00:00-05:00,174.2464222,0,95.43886114,38.72990958,0,5.718671472,511.531384,36.89452143,294.4430982
2016-08-03 09:00:00-05:00,354.3325916,416.9608063,95.5865408,5.065646771,0,5.627358667,754.7556124,74.94373437,282.6811945
2016-08-03 10:00:00-05:00,701.0545371,885.1342596,95.71909495,0,0,5.518336712,1035.148115,56.99938615,279.9968756
2016-08-03 11:00:00-05:00,701.0545371,885.1342596,95.71909495,0,0,5.518336712,1035.148115,56.99938615,279.9968756
2016-08-03 12:00:00-05:00,1031.586349,1516.233394,96.14549359,9.060482197,0,5.387814531,1370.416317,86.83891169,219.7385314
2016-08-03 13:00:00-05:00,1487.792548,2125.02926,96.32438895,0,0,5.251315935,1785.563377,57.06219845,269.4737639
2016-08-03 14:00:00-05:00,1464.2233,2169.898065,96.34637122,0,0,5.107075869,1801.980648,44.88928149,276.0971043
2016-08-03 15:00:00-05:00,1565.128634,2187.488556,95.82882601,0,0,5.254162203,1813.654906,53.70632402,277.4636787
2016-08-03 16:00:00-05:00,1316.2518,1398.441138,95.67591859,0,0,5.56122606,1392.293488,75.40693965,279.2694154
2016-08-03 17:00:00-05:00,1773.254903,2182.353791,96.08644152,0,0,5.500591715,1828.916619,31.54810797,279.2049603
2016-08-03 18:00:00-05:00,1678.192877,2164.983805,96.83039797,0,0,5.557188609,1874.274377,97.75191397,279.6262733
2016-08-03 19:00:00-05:00,1611.310376,2125.504088,96.96405894,84.1566423,0,5.702345849,1930.707819,127.8547956,325.8533245
2016-08-03 20:00:00-05:00,1722.06991,2042.957469,327.0111937,87.559263,0,5.793429313,1950.193466,132.8012908,315.4466034
2016-08-03 21:00:00-05:00,852.0330507,315.5034415,284.1056715,17.83673372,0,6.192133121,650.6570483,119.5805967,141.8001073
2016-08-03 22:00:00-05:00,1111.092806,1670.522637,101.7615717,0,0,5.964938955,1326.538907,72.07802918,57.66568736
2016-08-03 23:00:00-05:00,1356.590781,1959.620496,100.2592084,0,0,6.181754937,1421.845769,31.83909449,30.5694466
2016-08-04 00:00:00-05:00,992.0527025,1484.200256,99.81562974,0,0,5.808004034,1163.26627,57.08750027,23.59792319
2016-08-04 01:00:00-05:00,719.674343,970.3145766,99.1680328,0,0,5.502544482,822.5952313,39.07616972,23.39929652
2016-08-04 02:00:00-05:00,372.0734652,461.4744606,99.25129827,0,0,5.761110577,434.8080003,0,23.2194378
2016-08-04 03:00:00-05:00,664.1798905,851.4940438,99.43281225,0,0,5.830571549,764.1856824,39.42305828,23.623091
2016-08-04 04:00:00-05:00,333.1249841,379.6769603,98.78571175,0,0,5.844295755,442.4727833,55.96146349,22.68652673
